"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1022","Ccdc167",0.0792976407772858,3.83308734085637,0.916986591658322,0.374790600826581,0.587815757568557,-5.39762926034694
"1584","Rps5",0.0698726058238623,9.04310199907501,0.9147940400498,0.375901018658317,0.587815757568557,-5.39858496959664
"2357","Vdac1",-0.0944673381365231,9.65470816135781,-0.881377767033105,0.393103486547925,0.592432505160842,-5.39859696716081
"169","Anxa3",0.167756211156351,5.03216942772673,1.0176820583732,0.326221418546289,0.567141106104406,-5.3989545282725
"1162","Lnpk",0.0898774988233306,5.74860212385683,1.05261240107948,0.310479201048161,0.552439874886933,-5.39901910961682
"1464","Plin5",0.0978886917359447,3.10286241593236,0.886839517877275,0.390256069570123,0.589092562759914,-5.40017290743653
"3093","Ndufa10",-0.10140036078897,9.01422040776912,-0.912028286521727,0.377304949732168,0.587815757568557,-5.402290840996
"1144","Chmp2a",0.0883547357023842,4.30648410322972,0.958109594559418,0.354381604237003,0.587815757568557,-5.40331676990638
"2007","Echdc2",-0.0757508264952067,7.61106320661093,-1.00090339921588,0.333984959011465,0.575076499995295,-5.40337845321426
"1862","Tmem120a",-0.130494177028605,2.12637474035091,-0.927932819753874,0.369280608443528,0.587815757568557,-5.40387351360945
"2513","Gpx4",-0.0692330245444168,6.21987623333086,-1.05493041383445,0.309454546191676,0.551845820481872,-5.40433110263944
"1600","Mff",0.0924088517141515,3.91038646680609,0.916434735064199,0.375069876325401,0.587815757568557,-5.4052848958572
"2274","Ap3m1",-0.0695825094460485,4.65612173607549,-0.984051402517816,0.341914757060339,0.580386992969578,-5.40532350890475
"2945","R3hdm2",-0.0805449356537498,3.73850944801162,-0.896540340963765,0.385233081710718,0.587815757568557,-5.40574958184368
"2534","Bcs1l",-0.0942116520883589,4.54310901354621,-0.974441585788937,0.346496186087993,0.581598366294946,-5.40620492031448
"723","Vti1a",0.119487810511227,4.55120741549979,0.974485875192017,0.346474972172382,0.581598366294946,-5.40657382122382
"815","Snw1",0.0943163074141813,5.6716001235605,1.04234182200967,0.315049127611766,0.556189463608414,-5.4066651135596
"2800","Slc16a1",-0.075507089062981,6.55757774151771,-1.04724465361387,0.312861503978551,0.554232577543577,-5.40920746569912
"2785","Pdhb",-0.104930739923638,8.70082846272852,-0.922633461458737,0.371941123561893,0.587815757568557,-5.40962093547713
"2494","Fam98b",-0.0954279534743439,5.42754215340971,-1.02911280023873,0.32100749470637,0.563120760215638,-5.41021371324335
"726","Mlx",0.0973379181192566,5.34428427638516,1.02459992979239,0.323058694994026,0.565655773176688,-5.41024423694915
"2529","Akr1d1",-0.100199269079658,7.83836106210915,-0.978084320043062,0.344754443864229,0.581598366294946,-5.41051413873013
"1347","Eif5",0.088470896137375,8.91691926541964,0.907719503010311,0.379499287696436,0.587815757568557,-5.41076905421276
"725","Cisd1",0.0923470148879737,8.71897236056124,0.920027888662282,0.373254068169334,0.587815757568557,-5.41086177827515
"1343","APOA1",0.110098334205134,10.0067025468857,0.846701065294266,0.41150675394518,0.606693173832429,-5.4111842658681
"2346","Ddc",-0.0693320014473668,4.69817495407857,-0.979777631903333,0.343946916594529,0.580974588075736,-5.4120231947691
"1232","Afg3l1",0.0786805625581639,4.83400045645497,0.988892224633914,0.339623289599696,0.580070897342631,-5.41283344008561
"2128","Hmbs",-0.0675404727574067,4.43349083606886,-0.957345423760656,0.354753623132454,0.587815757568557,-5.4136156183415
"1590","Hnrnpm",0.0671846945890859,8.8853121208487,0.906196580922799,0.380276949132598,0.587815757568557,-5.41364469510507
"1013","Urad",0.0923727247485742,7.72882094403527,0.981518737681909,0.343117996373183,0.580482404053361,-5.41392449130621
"2887","Ganab",-0.0883216776368947,9.17828810530528,-0.888120096687773,0.389590475181765,0.589040600993734,-5.41413039648637
"397","Fam107b",0.105805984688631,4.75307535896582,0.981389189335721,0.343179623974437,0.580482404053361,-5.41419202141478
"1309","Gopc",0.0665766218144928,6.37333275051403,1.04367796445372,0.314451842135628,0.555555720686034,-5.41478925389808
"1080","Gramd2b",0.0919674372175026,3.64866011022386,0.875401226695824,0.396235266133559,0.594990445887601,-5.41589953984373
"2428","Psmb8",-0.0838068486969528,7.23065255087022,-1.01190483187633,0.328879740064468,0.569173884868178,-5.41593980706344
"2829","Rab18",-0.106343941324253,7.5574208600032,-0.990698885381905,0.338770891397341,0.579309087304752,-5.41597605832476
"1633","Mtfp1",-0.0850870803533708,3.82431431532934,-0.893176353148082,0.386969930531256,0.587815757568557,-5.41658013740453
"1488","Ttyh2",0.0737961519679251,4.72387282024124,0.9749858571681,0.346235552526165,0.581598366294946,-5.41801824556593
"1622","Snx6",0.0728851551154017,6.10271897017281,1.03943948876277,0.316349386997825,0.557569528641586,-5.4183144322184
"1877","Klc4",-0.120340048723698,7.03064207168876,-1.01959829193713,0.325343120813439,0.566421725627133,-5.41931018856003
"2359","Ndufa3",-0.074634787439475,7.60595463418561,-0.983559057014809,0.342148429577678,0.580386992969578,-5.41951345756287
"2403","Strn",-0.0760308230894267,3.2324848355559,-0.852705867948512,0.408279815746918,0.604804981025098,-5.4207019796753
"1137","Hook2",0.0816499113663305,4.34416514413546,0.941432075962544,0.362562897778716,0.587815757568557,-5.42075552056628
"401","Pacsin3",0.0891679172805926,9.04291213207799,0.887544723887175,0.389889436346885,0.589049980207766,-5.42109138948174
"2530","Uggt1",-0.0773409688708266,8.71236657808723,-0.908103376930613,0.379303438744206,0.587815757568557,-5.42119410900927
"3232","Bdh1",-0.0958247243227124,9.58679571211033,-0.856480901203921,0.406259732851427,0.604440920598861,-5.42125028100276
"2988","Cyp3a25",-0.11547033634949,6.98025797125682,-1.01934584027627,0.325458733187124,0.566421725627133,-5.42195045317072
"2549","Gna11",-0.0689725998050452,6.05945160695934,-1.03506941381593,0.318314573632841,0.559625123193405,-5.42217030605836
"1217","Tcerg1",0.0734880890431677,6.20590318671466,1.03617678268637,0.317815760564902,0.559354688027451,-5.42218587061801
"2653","Acaa2",-0.0788344019681801,11.2393049081414,-0.758926047171175,0.460577043253726,0.642165981177573,-5.42255184716765
"2365","Rpsa",-0.0710977376363005,9.05698878996335,-0.884633002699608,0.391404729276072,0.590110603549102,-5.42275107729201
"555","Dctn2",0.0830453645066633,8.67583205184626,0.90853344290947,0.379084105068661,0.587815757568557,-5.42284791167749
"415","Pacsin2",0.0962952197734257,8.93731029310918,0.89103333449461,0.388079147955447,0.588006880256128,-5.42349763097217
"647","Sdf2l1",0.103224363679468,6.22797000143621,1.03432523632585,0.318650107408216,0.55977451809641,-5.42395178113099
"2358","Vwa8",-0.0754888742166013,9.55445015033733,-0.853573841574332,0.407814761115557,0.604622813951111,-5.42491267861131
"285","APOA2",0.11279260855176,7.81327820954548,0.963072424359738,0.351972227511202,0.587815757568557,-5.42540916387385
